"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"2601","https://static-cdn.jtvnw.net/jtv_user_pictures/435a7fe1-b3f5-40f4-9f6a-32d48c8c574d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RoroowTV","1352445","3330","1054","406","41256","3551","true","false","French","RoroowTV"
"2602","https://static-cdn.jtvnw.net/jtv_user_pictures/xaimbrot-profile_image-5853abb6181a49a1-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","xAimBrot","2136435","6450","1366","331","72394","3551","true","false","German","xAimBrot"
"2603","https://static-cdn.jtvnw.net/jtv_user_pictures/8edb8fdd-76b8-427b-a0c6-ea9833e16b66-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","모카형 (oilj_far)","13877895","13200","2048","1051","80069","3549","true","false","Korean","모카형 (oilj_far)"
"2604","https://static-cdn.jtvnw.net/jtv_user_pictures/dd6424e6-3a36-4aa6-9daa-199ae8501015-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","endygamingpro","2838645","7395","1592","383","39832","3548","true","false","Spanish","endygamingpro"
"2605","https://static-cdn.jtvnw.net/jtv_user_pictures/b97a8ebd-d0dc-4cb9-8bae-783e7a6d9424-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Janas_","27705","3405","34","8","8683","3547","false","true","Italian","Janas_"
"2606","https://static-cdn.jtvnw.net/jtv_user_pictures/a227efde-8916-4877-b164-64546be32e0a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","nesszv","525885","6915","1404","76","15411","3546","false","false","Spanish","nesszv"
"2607","https://static-cdn.jtvnw.net/jtv_user_pictures/73e04321-1116-4b09-8a89-2ce801bf3e16-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Werlyb","17375655","5085","6705","3417","721642","3545","true","false","Spanish","Werlyb"
"2608","https://static-cdn.jtvnw.net/jtv_user_pictures/b10dc491-0069-40c8-93fd-454d086a9a2e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jarl_Unfug","22050","10080","36","2","4340","3544","false","true","German","Jarl_Unfug"
"2609","https://static-cdn.jtvnw.net/jtv_user_pictures/3bc03c40-f139-4970-8549-322ad868303b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Otto","866205","8265","1835","104","75323","3542","true","false","English","Otto"
"2610","https://static-cdn.jtvnw.net/jtv_user_pictures/dc8f4dc8-bc0f-46f6-b259-24f88ef256a3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ScuachiNopalero","316860","4740","278","66","13447","3542","false","false","Spanish","ScuachiNopalero"
