"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KaiCenat","750515550","13845","174509","54208","2402017","346668","true","false","English","KaiCenat"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/1c14619b-d930-48d4-bd17-91784c8bde0f-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","ElSpreen","318862545","5505","173221","57922","5618251","230563","true","false","Spanish","ElSpreen"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/d96bbd7a-26e5-4c5e-b6a5-149d708a973b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PaulinhoLOKObr","412465830","6075","141526","67895","1235167","222035","true","false","Portuguese","PaulinhoLOKObr"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/61709703-17fd-4190-a5de-82d6aba055a6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","WestCOL","172343475","5460","145907","31564","863854","212347","true","false","Spanish","WestCOL"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/75260307-584a-4eb7-99ba-d2708d27795e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SypherPK","134891265","14730","151092","9157","6213265","205617","true","false","English","SypherPK"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","655057350","6450","208726","101559","13977403","200088","true","false","Spanish","auronplay"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/df3e5800-b524-4c4e-87b0-8b3646d9185a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Squeezie","270810765","1950","1018817","138877","3859522","196875","true","false","French","Squeezie"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElMariana","203986260","5295","65244","38524","5667880","185490","true","false","Spanish","ElMariana"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/687eca1d-7479-4770-ab2c-fdac418e6c08-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Riot Games (riotgames)","1122441075","8520","443638","131741","6334932","183050","true","false","English","Riot Games (riotgames)"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/ccb34d5b-8dbb-4a25-881e-1d45f978e697-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ZeplaHQ","5818440","4440","2891","1310","248052","174744","true","false","English","ZeplaHQ"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","juansguarnizo","228651375","7905","105524","28924","9151747","172786","true","false","Spanish","juansguarnizo"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/08c2d08c-2b07-4912-9eb5-f520a3b2f3ee-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Noni","32684910","8445","36851","3870","405475","167405","true","false","Spanish","Noni"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/92691c18-43fd-430c-91f0-7e7d7d1ec4bf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Nadia","46842015","9720","14104","4819","606177","158750","true","false","English","Nadia"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/8766585f-8c02-48b5-9574-228ec3e01109-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","VALORANT","315305430","9525","281190","33102","3463782","137832","true","false","English","VALORANT"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","238546230","7635","77570","31243","12846642","123128","true","false","Spanish","Rubius"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/32805a78-d927-48bd-8089-bf5efed53ea4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","casimito","187498005","8040","103033","23320","2865560","118801","true","true","Portuguese","casimito"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","317458425","6495","236688","48877","11705021","115569","true","false","Spanish","ibai"
"18","https://static-cdn.jtvnw.net/jtv_user_pictures/0e6f8782-d5b9-4a51-ae8a-9c952c213487-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","rivers_gg","47268030","4455","34054","10610","1901163","110891","true","false","Spanish","rivers_gg"
